device_id,timestamp,temperature,humidity,air_quality,particle_count,particle_size,shape,type,location,status
TempSensor_4,2024-12-01 14:06:28.452286,23.29,42.3,,,,,Temperature Sensor,Unknown,Active
TempSensor_6,2024-12-01 14:06:28.452328,23.12,30.04,,,,,Temperature Sensor,Unknown,Active
TempSensor_4,2024-12-01 14:06:28.452339,21.71,40.09,,,,,Temperature Sensor,Unknown,Active
TempSensor_5,2024-12-01 14:06:28.452349,22.73,41.81,,,,,Temperature Sensor,Unknown,Active
TempSensor_1,2024-12-01 14:06:28.452358,20.37,48.5,,,,,Temperature Sensor,Unknown,Active
TempSensor_3,2024-12-01 14:06:28.452368,26.54,32.26,,,,,Temperature Sensor,Unknown,Active
TempSensor_2,2024-12-01 14:06:28.452377,20.79,59.73,,,,,Temperature Sensor,Unknown,Active
TempSensor_2,2024-12-01 14:06:28.452386,23.97,42.35,,,,,Temperature Sensor,Unknown,Active
TempSensor_5,2024-12-01 14:06:28.452395,28.46,47.85,,,,,Temperature Sensor,Unknown,Active
TempSensor_3,2024-12-01 14:06:28.452405,24.41,40.33,,,,,Temperature Sensor,Unknown,Active
TempSensor_1,2024-12-01 14:06:28.452414,29.89,57.07,,,,,Temperature Sensor,Unknown,Active
TempSensor_2,2024-12-01 14:06:28.452428,23.35,41.59,,,,,Temperature Sensor,Unknown,Active
TempSensor_5,2024-12-01 14:06:28.452437,22.25,56.69,,,,,Temperature Sensor,Unknown,Active
TempSensor_7,2024-12-01 14:06:28.452445,23.81,35.57,,,,,Temperature Sensor,Unknown,Active
TempSensor_9,2024-12-01 14:06:28.452454,26.89,57.65,,,,,Temperature Sensor,Unknown,Active
TempSensor_8,2024-12-01 14:06:28.452463,23.47,33.97,,,,,Temperature Sensor,Unknown,Active
TempSensor_10,2024-12-01 14:06:28.452471,20.3,44.53,,,,,Temperature Sensor,Unknown,Active
TempSensor_10,2024-12-01 14:06:28.452479,29.26,47.9,,,,,Temperature Sensor,Unknown,Active
TempSensor_10,2024-12-01 14:06:28.452488,29.11,37.04,,,,,Temperature Sensor,Unknown,Active
TempSensor_3,2024-12-01 14:06:28.452497,26.38,46.18,,,,,Temperature Sensor,Unknown,Active
